transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T03512,U039,2021-12-22,expense,rent,998.0,Cash,Pune,Paid electricity bill 
T04316,U143,2022-10-18,expense,rent,149.0,Cash,Bengaluru,
T01814,U150,2019-09-12,expense,savings,681.0,Cash,Kolkata,Salary
T04656,U112,2021-02-03,expense,food,323.0,UPI,Ahmedabad,Monthly rent
T02596,U050,2021-03-03,income,other income,58874.0,Card,Bengaluru,Salary
T11684,U114,2022-01-20,expense,food,383.0,Bank Transfer,Hyderabad,Grocery shopping
T11492,U149,2020-12-28,expense,rent,1580.0,UPI,Lucknow,Uber to office
T02520,U088,2021-01-01,expense,health,193.0,Bank Transfer,Ahmedabad,Netflix subscription
T02736,U040,2020-08-05,expense,entertainment,187.0,Bank Transfer,Bengaluru,Doctor visit cash
T00990,U014,2022-10-16,expense,others,2506.0,Bank Transfer,Ahmedabad,Doctor visit cash
T04370,U119,2021-03-31,expense,food,5387.0,Bank Transfer,Pune,A7Brvt0bSrovLXo
T00315,U142,2019-01-09,expense,food,143.0,Cash,Chennai,
T11066,U031,2020-12-13,expense,,367.0,Bank Transfer,Kolkata,NLS1gMaaOza0C0cf
T01335,U113,2019-07-17,income,bonus,46491.0,UPI,Delhi,Gift
T11761,U093,2019-11-10,expense,entertainment,2951.0,Cash,Pune,Uber to office
T03286,U119,2020-03-27,expense,savings,408.0,Card,Chennai,Paid electricity bill cash
T01970,U044,2022-10-04,expense,rent,1530.0,Card,Hyderabad,Netflix subscription
T08098,U049,2019-06-29,expense,travel,183.0,Cash,Ahmedabad,Salary
T01842,U161,2021-10-13,expense,food,1275.0,Card,Kolkata,Gift 
T07877,U032,2022-07-21,expense,travel,100.0,Bank Transfer,Jaipur,cJ9BkudD4Tf3Ql
T09490,U109,2022-05-28,expense,food,55.0,Cash,Hyderabad,Uber to office
T00428,U041,2020-06-29,expense,food,693.0,Bank Transfer,Hyderabad,Doctor visit
T13693,U161,2021-02-15,expense,travel,641.0,Card,Delhi,Paid electricity bill
T02361,U087,2022-06-24,expense,travel,564.0,UPI,Delhi,Doctor visit late
T08941,U071,2019-08-02,expense,food,189.0,UPI,Ahmedabad,Netflix subscription
T04057,U147,2021-05-29,expense,ernt,705.0,Cash,Bengaluru,Salary
T14182,U082,2021-06-11,expense,food,196.0,Bank Transfer,Jaipur,Monthly rent
T06760,U051,2019-11-23,income,other income,45038.0,Bank Transfer,Ahmedabad,Doctor visit
T10248,U108,2019-06-26,expense,entertainment,1050.0,Cash,Hyderabad,Uber to office
T13425,U023,2019-03-13,expense,travel,617.0,Cash,Ahmedabad,Course fee 
T05533,U026,2021-06-24,expense,travel,45.0,Cash,Delhi,
T12034,U100,2020-07-25,expense,rtavel,1413.0,Caard,delhi,nqj5djeLfknN4JU
T14582,U014,2021-10-09,expense,education,207.0,Card,Hyderabad,Netflix subscription
T05338,U050,2021-07-29,expense,food,406.0,Card,Kolkata,
T11314,U124,2019-05-30,expense,others,726.0,UPI,Chennai,Salary
T05368,U170,2021-01-16,expense,food,64.0,Cash,Delhi,Monthly rent 
T02339,U157,2022-07-24,expense,food,323.0,UPI,Mumbai,Salary cash
T08561,U112,2022-03-14,expense,rent,116.0,Card,Jaipur,Netflix subscription
T01429,U085,2022-01-10,expense,rent,69.0,UPI,Delhi,Grocery shopping 
T11709,U028,2020-11-28,expense,rent,201.0,Cash,Bengaluru,Doctor visit via app
T07338,U071,2019-07-06,income,bonus,68463.0,Cash,lucknow,zhjquyI3MwYbP4rQr9
T08610,U147,2019-04-14,expense,food,8096.0,Cash,Jaipur,Course fee
T03004,U039,2020-10-07,expense,rnt,1706.0,Bank Transfer,Lucknow,Doctor visit
T11440,U081,2019-11-01,expense,rent,-1049.0,Bank Transfer,Delhi,Grocery shopping 
T14631,U184,2021-03-27,expense,utilities,101.0,Cash,Jaipur,Course fee
T14170,U095,2022-07-03,expense,travel,1701.0,Cash,Kolkata,Salary
T08053,U134,2021-12-13,expense,rent,2016.0,Card,Ahmedabad,Monthly rent
T09491,U106,2021-08-15,expense,education,548.0,UPI,Mumbai,Monthly rent
T08671,U042,2019-02-18,expense,utilities,2209.0,Card,Bengaluru,Paid electricity bill
T05211,U001,2022-11-30,expense,utilities,102.0,Cash,Lucknow,Monthly rent
T07554,U057,2022-11-05,income,bonus,69315.0,Cash,Chennai,Paid electricity bill via app
T11126,U054,2022-09-25,expense,health,201.0,Cash,Ahmedabad,Netflix subscription
T03666,U065,2022-06-20,expense,entertainment,465.0,Bank Transfer,Delhi,Dinner at resto
T00296,U082,2019-09-16,expense,food,527.0,Bank Transfer,Pune,Gift
T04299,U138,2022-12-13,expense,rent,457.0,UPI,Mumbai,Gift
T13750,U057,2021-04-15,expense,savings,45.0,UPI,Mumbai,Doctor visit
T08158,U112,2020-11-01,expense,rent,72.0,Cash,Jaipur,Gift via app
T08614,U088,2021-12-05,expense,rent,437.0,Bank Transfer,Mumbai,Dinner at resto cash
T06012,U038,2020-04-12,expense,utilities,160.0,Cash,Mumbai,Gift late
T01467,U006,2020-05-09,expense,food,1012.0,UPI,Delhi,oUUq1sbTZ0KCLrWUTx
T13053,U037,2021-04-22,expense,entertainment,905.0,Bank Transfer,Ahmedabad,Paid electricity bill
T00022,U118,2022-04-16,expense,entertainment,92.0,Bank Transfer,Kolkata,Paid electricity bill
T13547,U094,2022-03-05,expense,rent,92.0,Card,Kolkata,Gift
T12875,U027,2019-02-14,expense,,1460.0,UPI,Chennai,Doctor visit
T01344,U001,2021-03-29,expense,food,439.0,UPI,Hyderabad,Gift
T12164,U102,2020-03-02,expense,travel,20.0,Bank Transfer,Hyderabad,Netflix subscription cash
T11560,U067,2019-07-12,expense,fod,36.0,UPI,Bengaluru,Salary cash
T09304,U025,2020-05-25,expense,food,4318.0,Bank Transfer,Ahmedabad,Salary 
T00739,U076,2020-12-28,expense,foodd,902.0,Cash,Bengaluru,Dinner at resto 
T01170,U116,2020-08-25,expense,food,133.0,Cash,Lucknow,Paid electricity bill late
T03102,U170,2022-12-12,expense,rent,1016.0,UPI,Jaipur,Doctor visit cash
T07764,U067,2020-04-17,expense,food,640.0,Bank Transfer,Delhi,Paid electricity bill
T14226,U057,2022-04-22,expense,entertainment,822.0,Bank Transfer,Hyderabad,Doctor visit
T14082,U110,2020-07-26,expense,utilities,106.0,Card,Chennai,Course fee
T07223,U150,2019-08-26,expense,food,745.0,Card,Delhi,Gift
T04852,U035,2020-12-30,income,other income,42452.0,Bank Transfer,Chennai,Grocery shopping
T09939,U066,2020-07-21,expense,rent,104.0,Card,Lucknow,
T14623,U192,2020-09-29,expense,food,2152.0,Cash,Ahmedabad,Salary
T12200,U042,2019-01-05,expense,rent,592.0,UPI,Bengaluru,Monthly rent
T13495,U119,2021-06-08,expense,food,255.0,Bank Transfer,Lucknow,Uber to office
T01739,U121,2020-01-19,expense,utilities,65.0,UPI,Chennai,Uber to office
T12241,U039,2019-06-02,income,bonus,75939.0,Cash,Kolkata,Grocery shopping
T09306,U123,2022-10-27,income,bonus,43933.0,Bank Transfer,Bengaluru,Gift
T12696,U192,2021-07-06,expense,health,552.0,Cash,Ahmedabad,Course fee
T14525,U156,2022-10-11,expense,food,45.0,Bank Transfer,Bengaluru,Paid electricity bill 
T14629,U056,2020-09-13,expense,food,286.0,Card,Ahmedabad,Doctor visit
T09574,U029,2021-10-17,expense,rent,286.0,Cash,Bengaluru,Doctor visit
T02539,U117,2020-09-11,expense,health,1062.0,Cash,Lucknow,Uber to office cash
T10911,U048,2020-01-27,expense,utilities,305.0,UPI,Delhi,Monthly rent
T10396,U099,2022-05-17,expense,rent,80.0,Card,Pune,Dinner at resto
T11233,U188,2019-05-09,expense,others,25.0,Bank Transfer,Lucknow,Dinner at resto
T05815,U087,2019-10-12,expense,rent,118.0,Bank Transfer,Hyderabad,Course fee
T08020,U167,2021-05-17,expense,travel,223.0,Card,Delhi,Course fee cash
T13384,U185,2019-12-06,expense,rent,2098.0,UPI,Ahmedabad,Doctor visit
T14209,U154,2020-10-24,expense,entertainment,213.0,UPI,Chennai,RaGsYvbh
T10245,U168,2019-08-05,expense,rent,1965.0,Cash,Ahmedabad,Oj5dHEuv
T03377,U019,2021-01-04,expense,food,451.0,Bank Transfer,Lucknow,Doctor visit
T02983,U073,2021-09-25,expense,others,362.0,Cash,kolkata,5M01gbjIQkWEhD
T03038,U062,2021-12-22,expense,others,2520.0,Bank Transfer,Chennai,Salary
T02480,U112,2021-06-05,expense,food,3127.0,UPI,Hyderabad,
T09233,U120,2022-06-30,expense,travel,373.0,UPI,Delhi,Course fee via app
T05740,U164,2020-11-15,expense,utilities,362.0,Bank Transfer,Chennai,Doctor visit
T07466,U163,2019-05-01,income,other income,57565.0,UPI,Kolkata,Uber to office
T06322,U068,2022-07-13,expense,rent,4777.0,Bank Transfer,Bengaluru,Netflix subscription
T00474,U085,2022-09-25,expense,food,434.0,UPI,Jaipur,Course fee
T03793,U094,2021-03-21,expense,rent,269.0,UPI,Hyderabad,IOcqTPRj1mZ
T06093,U189,2020-07-13,expense,others,71.0,Cash,Chennai,
T01185,U035,2021-04-01,expense,food,3489.0,Bank Transfer,,Grocery shopping
T08709,U099,2022-10-04,expense,health,192.0,Bank Transfer,Lucknow,Netflix subscription
T08374,U079,2020-02-22,expense,travel,386.0,Card,Ahmedabad,Monthly rent 
T07528,U143,2020-02-17,expense,rent,3552.0,UPI,Mumbai,
T01376,U110,2022-09-10,expense,entertainment,38.0,Bank Transfer,Mumbai,Grocery shopping cash
T06668,U033,2019-03-02,expense,travel,150.0,UPI,Kolkata,
T12554,U050,2022-04-23,expense,travel,2374.0,UPI,kolkata,Monthly rent 
T03527,U126,2021-01-12,expense,travel,524.0,Card,Kolkata,Dinner at resto
T09838,U105,2022-10-20,income,other income,66826.0,Card,Lucknow,Netflix subscription
T08005,U001,2021-06-01,expense,entertainment,77.0,UPI,PUNE,Gift via app
T02865,U160,2020-06-29,expense,rent,667.0,UPI,lucknow,ur3kNFk5
T10191,U144,2019-06-09,expense,food,2685.0,UPI,Delhi,Grocery shopping cash
T01435,U176,2021-02-12,expense,savings,313.0,Card,Mumbai,Doctor visit
T12173,U063,2022-08-06,expense,rent,848.0,Bank Transfer,Hyderabad,
T03871,U171,2020-06-08,expense,travel,463.0,,Pune,Gift cash
T14686,U189,2020-06-05,expense,rent,743.0,Cash,Mumbai,Monthly rent
T12548,U125,2021-01-28,expense,food,219.0,Card,Hyderabad,Netflix subscription
T03845,U005,2021-08-10,expense,rent,533.0,Bank Transfer,Chennai,Salary
T01061,U002,2020-04-10,expense,food,1032.0,,Lucknow,Gift via app
T08024,U027,2021-08-14,expense,food,273.0,Card,Lucknow,Monthly rent cash
T04492,U065,2019-03-29,expense,savingss,205.0,Cash,Pune,Dinner at resto
T13298,U137,2021-03-10,expense,rent,366.0,Bank Transfer,Jaipur,Grocery shopping
T13716,U145,2022-09-23,expense,otherrs,547.0,UPI,Chennai,Gift
T10119,U170,2022-10-17,income,other income,48269.0,UPI,Jaipur,Course fee
T06430,U038,2020-07-09,expense,entertainment,560.0,Cash,Chennai,Netflix subscription
T08533,U068,2022-12-23,expense,others,313.0,Card,Ahmedabad,
T03449,U125,2021-11-08,income,other income,56253.0,UPI,Kolkata,Monthly rent via app
T11226,U073,2020-11-26,income,other income,71178.0,Card,Delhi,Salary
T00610,U042,2022-02-25,expense,health,142.0,,Jaipur,
T05220,U005,2020-09-11,expense,rent,882.0,UPI,Jaipur,Gift
T09296,U100,2020-07-21,expense,food,2383.0,Bank Transfer,Hyderabad,Doctor visit
T12600,U163,2022-06-04,expense,rent,814.0,UPI,Chennai,Dinner at resto via app
T00057,U104,2022-05-02,expense,utilities,2314.0,Bank Transfer,Mumbai,Doctor visit cash
T14501,U115,2021-11-18,expense,rent,256.0,Bank Transfer,Jaipur,Grocery shopping via app
T02713,U147,2021-01-28,expense,rent,526.0,Card,Mumbai,Course fee via app
T00511,U044,2022-11-23,expense,utilities,314.0,Card,Ahmedabad,Gift late
T10944,U182,2022-12-04,expense,travel,711.0,Card,chennai,Monthly rent
T09614,U164,2020-11-19,expense,savings,2358.0,Card,Ahmedabad,Doctor visit
T14837,U079,2020-11-22,expense,rent,429.0,Cash,Lucknow,Grocery shopping
T12502,U007,2021-11-27,expense,rent,535.0,Cash,Bengaluru,Dinner at resto
T04765,U159,2022-03-19,expense,travel,556.0,Cash,Jaipur,Course fee
T14852,U086,2022-11-12,expense,food,260.0,Card,Kolkata,
T08600,U137,2020-01-01,expense,ravel,88.0,Bank Transfer,Kolkata,Monthly rent
T03183,U034,2021-05-07,expense,food,1333.0,Bank Transfer,Kolkata,Netflix subscription cash
T06581,U071,2022-09-20,expense,food,1477.0,Cash,Jaipur,Dinner at resto
T05184,U044,2020-03-14,expense,fod,1103.0,Card,bengaluru,Grocery shopping via app
T07687,U169,2019-03-05,expense,rent,443.0,,Pune,Dinner at resto
T10024,U092,2021-01-15,expense,utilities,569.0,UPI,Hyderabad,Paid electricity bill
T01527,U138,2022-03-11,expense,education,957.0,Card,Ahmedabad,Uber to office via app
T11735,U129,2022-03-18,expense,travel,199.0,Card,Jaipur,Monthly rent
T01223,U148,2021-04-20,expense,others,64.0,Card,Delhi,Grocery shopping
T05193,U143,2020-05-03,expense,utilities,496.0,Card,Hyderabad,Grocery shopping 
T00405,U183,2019-05-15,income,other income,39404.0,Cash,Hyderabad,Course fee via app
T01004,U125,2021-02-05,expense,utilities,2593.0,Cash,Lucknow,
T10359,U091,2021-11-07,expense,rent,90.0,UPI,Delhi,Doctor visit cash
T06531,U114,2021-10-17,expense,utilities,639.0,UPI,Chennai,Salary
T07368,U097,2019-10-11,income,bonus,55210.0,Card,,Netflix subscription
T12503,U101,2021-04-30,expense,food,2359.0,Cash,Chennai,
T10901,U004,2021-03-01,expense,rent,1707.0,Card,Mumbai,Doctor visit
T08474,U185,2020-08-30,expense,food,584.0,Cash,hyderabad,Grocery shopping
T07620,U056,2021-05-08,expense,travel,220.0,Cash,Delhi,Netflix subscription
T01926,U123,2019-02-16,expense,travel,399.0,Bank Transfer,Ahmedabad,Dinner at resto cash
T01312,U148,2020-03-20,expense,rent,201.0,Card,Delhi,Grocery shopping
T06567,U187,2021-07-24,expense,food,769.0,UPI,Bengaluru,Netflix subscription
T12289,U018,2020-04-09,expense,rent,682.0,Card,Lucknow,Course fee
T14663,U127,2020-10-21,expense,utilities,694.0,Cash,Chennai,Monthly rent
T12325,U153,2020-01-03,expense,food,221.0,UPI,Chennai,Course fee
T12416,U049,2019-06-23,expense,food,94.0,UPI,Hyderabad,Gift
T10959,U177,2021-03-28,expense,food,34.0,aBnk Transfer,Delhi,Dinner at resto late
T04867,U068,2019-10-11,expense,rent,90.0,Card,Jaipur,Grocery shopping
