year,month,user_id,income,expense,savings,savings_rate,expense_ratio,income_variance,expense_volatility,monthly_surplus,expense_rolling_mean,expense_spike
2019,8,U001,54358.0,0.0,54358.0,1.0,0.0,26365.193215591167,3836.668309835627,54358.0,0.0,0.0
2019,10,U001,0.0,433.0,-433.0,0.0,0.0,26365.193215591167,3836.668309835627,-433.0,216.5,216.5
2020,1,U001,44962.0,0.0,44962.0,1.0,0.0,26365.193215591167,3836.668309835627,44962.0,144.33333333333334,-144.33333333333334
2020,6,U001,0.0,13556.0,-13556.0,0.0,0.0,26365.193215591167,3836.668309835627,-13556.0,4663.0,8893.0
2020,9,U001,0.0,863.0,-863.0,0.0,0.0,26365.193215591167,3836.668309835627,-863.0,4806.333333333333,-3943.333333333333
2021,3,U001,0.0,926.0,-926.0,0.0,0.0,26365.193215591167,3836.668309835627,-926.0,5115.0,-4189.0
2021,6,U001,0.0,962.0,-962.0,0.0,0.0,26365.193215591167,3836.668309835627,-962.0,917.0,45.0
2021,9,U001,0.0,1017.0,-1017.0,0.0,0.0,26365.193215591167,3836.668309835627,-1017.0,968.3333333333334,48.66666666666663
2021,11,U001,0.0,1805.0,-1805.0,0.0,0.0,26365.193215591167,3836.668309835627,-1805.0,1261.3333333333333,543.6666666666667
2022,1,U001,71407.0,0.0,71407.0,1.0,0.0,26365.193215591167,3836.668309835627,71407.0,940.6666666666666,-940.6666666666666
2022,5,U001,0.0,4407.0,-4407.0,0.0,0.0,26365.193215591167,3836.668309835627,-4407.0,2070.6666666666665,2336.3333333333335
2022,11,U001,0.0,102.0,-102.0,0.0,0.0,26365.193215591167,3836.668309835627,-102.0,1503.0,-1401.0
2019,2,U002,0.0,843.0,-843.0,0.0,0.0,29651.27942461309,646.9712402528305,-843.0,843.0,0.0
2019,5,U002,75910.0,0.0,75910.0,1.0,0.0,29651.27942461309,646.9712402528305,75910.0,421.5,-421.5
2019,9,U002,66773.0,0.0,66773.0,1.0,0.0,29651.27942461309,646.9712402528305,66773.0,281.0,-281.0
2020,1,U002,0.0,1014.0,-1014.0,0.0,0.0,29651.27942461309,646.9712402528305,-1014.0,338.0,676.0
2020,4,U002,0.0,1032.0,-1032.0,0.0,0.0,29651.27942461309,646.9712402528305,-1032.0,682.0,350.0
2020,6,U002,0.0,168.0,-168.0,0.0,0.0,29651.27942461309,646.9712402528305,-168.0,738.0,-570.0
2020,7,U002,0.0,1580.0,-1580.0,0.0,0.0,29651.27942461309,646.9712402528305,-1580.0,926.6666666666666,653.3333333333334
2020,9,U002,0.0,269.0,-269.0,0.0,0.0,29651.27942461309,646.9712402528305,-269.0,672.3333333333334,-403.33333333333337
2021,10,U002,0.0,1965.0,-1965.0,0.0,0.0,29651.27942461309,646.9712402528305,-1965.0,1271.3333333333333,693.6666666666667
2021,12,U002,0.0,100.0,-100.0,0.0,0.0,29651.27942461309,646.9712402528305,-100.0,778.0,-678.0
2022,2,U002,0.0,82.0,-82.0,0.0,0.0,29651.27942461309,646.9712402528305,-82.0,715.6666666666666,-633.6666666666666
2022,3,U002,0.0,336.0,-336.0,0.0,0.0,29651.27942461309,646.9712402528305,-336.0,172.66666666666666,163.33333333333334
2022,5,U002,0.0,50.0,-50.0,0.0,0.0,29651.27942461309,646.9712402528305,-50.0,156.0,-106.0
2022,11,U002,65639.0,0.0,65639.0,1.0,0.0,29651.27942461309,646.9712402528305,65639.0,128.66666666666666,-128.66666666666666
2019,3,U003,0.0,432.0,-432.0,0.0,0.0,29983.688952367214,455.3395544976407,-432.0,432.0,0.0
2019,5,U003,69726.0,493.0,69233.0,0.992929466769928,0.0070705332300719,29983.688952367214,455.3395544976407,69233.0,462.5,30.5
2019,12,U003,0.0,1520.0,-1520.0,0.0,0.0,29983.688952367214,455.3395544976407,-1520.0,815.0,705.0
2021,4,U003,0.0,1000.0,-1000.0,0.0,0.0,29983.688952367214,455.3395544976407,-1000.0,1004.3333333333334,-4.333333333333371
2021,6,U003,76958.0,0.0,76958.0,1.0,0.0,29983.688952367214,455.3395544976407,76958.0,840.0,-840.0
2021,8,U003,0.0,805.0,-805.0,0.0,0.0,29983.688952367214,455.3395544976407,-805.0,601.6666666666666,203.33333333333337
2021,10,U003,0.0,628.0,-628.0,0.0,0.0,29983.688952367214,455.3395544976407,-628.0,477.6666666666667,150.33333333333331
2021,11,U003,0.0,453.0,-453.0,0.0,0.0,29983.688952367214,455.3395544976407,-453.0,628.6666666666666,-175.66666666666663
2021,12,U003,55056.0,0.0,55056.0,1.0,0.0,29983.688952367214,455.3395544976407,55056.0,360.3333333333333,-360.3333333333333
2022,3,U003,0.0,977.0,-977.0,0.0,0.0,29983.688952367214,455.3395544976407,-977.0,476.6666666666667,500.3333333333333
2022,4,U003,48377.0,0.0,48377.0,1.0,0.0,29983.688952367214,455.3395544976407,48377.0,325.6666666666667,-325.6666666666667
2022,10,U003,0.0,770.0,-770.0,0.0,0.0,29983.688952367214,455.3395544976407,-770.0,582.3333333333334,187.66666666666663
2022,11,U003,0.0,90.0,-90.0,0.0,0.0,29983.688952367214,455.3395544976407,-90.0,286.6666666666667,-196.66666666666669
2022,12,U003,0.0,216.0,-216.0,0.0,0.0,29983.688952367214,455.3395544976407,-216.0,358.6666666666667,-142.66666666666669
2020,1,U004,60702.0,1067.0,59635.0,0.9824223254587988,0.0175776745412012,32390.74035584862,778.4659915500484,59635.0,1067.0,0.0
2020,12,U004,57500.0,0.0,57500.0,1.0,0.0,32390.74035584862,778.4659915500484,57500.0,533.5,-533.5
2021,3,U004,0.0,1790.0,-1790.0,0.0,0.0,32390.74035584862,778.4659915500484,-1790.0,952.3333333333334,837.6666666666666
2022,1,U004,0.0,81.0,-81.0,0.0,0.0,32390.74035584862,778.4659915500484,-81.0,623.6666666666666,-542.6666666666666
2022,9,U004,0.0,195.0,-195.0,0.0,0.0,32390.74035584862,778.4659915500484,-195.0,688.6666666666666,-493.66666666666663
2019,5,U005,0.0,225.0,-225.0,0.0,0.0,25055.666666666668,395.0476061326168,-225.0,225.0,0.0
2019,9,U005,0.0,1106.0,-1106.0,0.0,0.0,25055.666666666668,395.0476061326168,-1106.0,665.5,440.5
2019,10,U005,75167.0,0.0,75167.0,1.0,0.0,25055.666666666668,395.0476061326168,75167.0,443.6666666666667,-443.6666666666667
2019,12,U005,0.0,591.0,-591.0,0.0,0.0,25055.666666666668,395.0476061326168,-591.0,565.6666666666666,25.33333333333337
2020,9,U005,0.0,882.0,-882.0,0.0,0.0,25055.666666666668,395.0476061326168,-882.0,491.0,391.0
2021,8,U005,0.0,533.0,-533.0,0.0,0.0,25055.666666666668,395.0476061326168,-533.0,668.6666666666666,-135.66666666666663
2021,10,U005,0.0,318.0,-318.0,0.0,0.0,25055.666666666668,395.0476061326168,-318.0,577.6666666666666,-259.66666666666663
2021,11,U005,0.0,1015.0,-1015.0,0.0,0.0,25055.666666666668,395.0476061326168,-1015.0,622.0,393.0
2022,8,U005,0.0,162.0,-162.0,0.0,0.0,25055.666666666668,395.0476061326168,-162.0,498.3333333333333,-336.3333333333333
2020,1,U006,0.0,320.0,-320.0,0.0,0.0,0.0,435.4682209169476,-320.0,320.0,0.0
2020,5,U006,0.0,1012.0,-1012.0,0.0,0.0,0.0,435.4682209169476,-1012.0,666.0,346.0
2020,11,U006,0.0,309.0,-309.0,0.0,0.0,0.0,435.4682209169476,-309.0,547.0,-238.0
2021,1,U006,0.0,186.0,-186.0,0.0,0.0,0.0,435.4682209169476,-186.0,502.3333333333333,-316.3333333333333
2021,8,U006,0.0,729.0,-729.0,0.0,0.0,0.0,435.4682209169476,-729.0,408.0,321.0
2022,4,U006,0.0,665.0,-665.0,0.0,0.0,0.0,435.4682209169476,-665.0,526.6666666666666,138.33333333333337
2022,6,U006,0.0,-325.0,325.0,0.0,0.0,0.0,435.4682209169476,325.0,356.3333333333333,-681.3333333333333
2019,4,U007,70811.0,0.0,70811.0,1.0,0.0,29625.176827558393,204.23672790573448,70811.0,0.0,0.0
2019,6,U007,0.0,180.0,-180.0,0.0,0.0,29625.176827558393,204.23672790573448,-180.0,90.0,90.0
2019,8,U007,64905.0,0.0,64905.0,1.0,0.0,29625.176827558393,204.23672790573448,64905.0,60.0,-60.0
2019,12,U007,0.0,20.0,-20.0,0.0,0.0,29625.176827558393,204.23672790573448,-20.0,66.66666666666667,-46.66666666666667
2020,2,U007,0.0,259.0,-259.0,0.0,0.0,29625.176827558393,204.23672790573448,-259.0,93.0,166.0
2020,5,U007,0.0,304.0,-304.0,0.0,0.0,29625.176827558393,204.23672790573448,-304.0,194.33333333333334,109.66666666666666
2020,6,U007,0.0,565.0,-565.0,0.0,0.0,29625.176827558393,204.23672790573448,-565.0,376.0,189.0
